time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/value_loss,train/entropy_loss,train/n_updates,train/loss,train/approx_kl,train/explained_variance,train/learning_rate,eval/mean_ep_length,eval/mean_reward
,,,,,230000,0.115478515625,-0.013401592746959068,0.2,0.460640224639792,-1.8472252566367389,1120,0.11846418678760529,0.013084889,0.9618166089057922,0.0003,46.2,-26.36595211029053
7732,29,46.05,-25.005942409999992,113,231424,,,,,,,,,,,,
18901,12,46.09,-24.160783289999994,114,233472,0.123583984375,-0.010624427566654049,0.2,0.699594057071954,-1.8742666713893414,1130,0.1910514235496521,0.012176892,0.9572478532791138,0.0003,,
18921,12,46.11,-24.795918099999998,115,235520,0.13251953125,-0.015826963578001597,0.2,0.4737468789564446,-1.876460861414671,1140,0.05356194078922272,0.012330595,0.9544243812561035,0.0003,,
18939,12,46.06,-24.809839139999994,116,237568,0.137646484375,-0.012651781752356327,0.2,0.6621992690023035,-1.8588432610034942,1150,0.05296861380338669,0.0113424845,0.9609275460243225,0.0003,,
18957,12,46.05,-24.98380408,117,239616,0.15498046875,-0.01492724229756277,0.2,0.7024640305899084,-1.839741086959839,1160,0.16800935566425323,0.013733384,0.9569631218910217,0.0003,,
,,,,,240000,0.122705078125,-0.011651641661592294,0.2,0.5814896154217422,-1.8748801071196795,1170,0.09467669576406479,0.012489834,0.9678671956062317,0.0003,46.2,-25.026703357696533
18979,12,46.08,-24.827785959999996,118,241664,,,,,,,,,,,,
21523,11,46.08,-24.75375025,119,243712,0.1564453125,-0.014351576691842638,0.2,0.523592939786613,-1.842548930644989,1180,0.017943546175956726,0.013415867,0.9667060375213623,0.0003,,
27796,8,46.09,-24.30942994,120,245760,0.161572265625,-0.01723598294192925,0.2,0.5112225491320714,-1.8569867167621852,1190,0.06455618143081665,0.014523443,0.9663087129592896,0.0003,,
27814,8,46.06,-24.741566829999996,121,247808,0.113671875,-0.00960335039126221,0.2,0.43462787016760557,-1.8227271616458893,1200,0.15507709980010986,0.012266181,0.964267373085022,0.0003,,
27830,8,46.04,-25.728709679999998,122,249856,0.113720703125,-0.014058628701604903,0.2,0.5033625351730734,-1.8539495769888164,1210,0.059584226459264755,0.01070682,0.9736828207969666,0.0003,,
,,,,,250000,0.14072265625,-0.014130734879290684,0.2,0.7401567113120109,-1.8511060982942582,1220,0.1033220887184143,0.011882192,0.9666190147399902,0.0003,46.0,-21.128148114681245
27849,9,46.03,-25.281808670000004,123,251904,,,,,,,,,,,,
27866,9,46.09,-24.53488232,124,253952,0.1228515625,-0.011026469111675397,0.2,0.4469240111997351,-1.8217982038855554,1230,0.08408517390489578,0.011763757,0.976651132106781,0.0003,,
27884,9,46.09,-24.4294115,125,256000,0.118017578125,-0.013505480022286066,0.2,0.4645519184647128,-1.8382771711796522,1240,0.051318638026714325,0.011567166,0.973273754119873,0.0003,,
27901,9,46.07,-25.654893590000007,126,258048,0.129296875,-0.01214353816176299,0.2,0.7906802718993277,-1.7890364993363619,1250,0.147765651345253,0.014292736,0.9479313492774963,0.0003,,
,,,,,260000,0.100341796875,-0.014388051064452156,0.2,1.075049737840891,-1.7884122483432292,1260,0.6465007662773132,0.011683822,0.9408876895904541,0.0003,46.0,-24.987962937355043
27919,9,46.05,-25.420068190000002,127,260096,,,,,,,,,,,,
27936,9,46.03,-24.677253849999996,128,262144,0.134912109375,-0.012998272778349928,0.2,0.5078965381486341,-1.74129894413054,1270,0.031749509274959564,0.011151295,0.9553329944610596,0.0003,,
27953,9,46.04,-24.95435109,129,264192,0.121142578125,-0.012068315839860589,0.2,0.4862280841451138,-1.6684262197464705,1280,0.10695492476224899,0.009963174,0.9697788953781128,0.0003,,
28520,9,46.02,-25.11572953,130,266240,0.11552734375,-0.012209125691151712,0.2,0.7681456930935383,-1.6947515308856964,1290,0.18833869695663452,0.011597866,0.9664873480796814,0.0003,,
